Historical Request Id,Beneficiary Id,Request Creation Date,Food Category,Item Classification,Item Description,Requested Quantity,Allocated Quantity
5a766247e833a30854e34efa,5a5a1031a6ac7b076b9a7fdb,14/01/2018,Beverages,Hot Beverages,Chocolate Drink Powder-550g-Halal,40,9
5a766247e833a30854e34efb,5a5a1031a6ac7b076b9a7fdb,14/01/2018,Beverages,Hot Beverages,Bandung-50g-Halal,0,0
5a766248e833a30854e34efc,5a5a104aa6ac7b076b9a7fdd,14/01/2018,Beverages,Hot Beverages,Chocolate Drink Powder-550g-Halal,40,29
